Frequency (Hz),dB (Relative)
474,25.71578
475,25.66100
476,25.60623
477,25.55145
478,25.49668
479,25.44190
480,25.38713
481,25.33235
482,25.27758
483,25.22280
484,25.16803
485,25.11325
486,25.05848
487,25.00370
488,24.94893
489,24.89415
490,24.83938
491,24.78460
492,24.72983
493,24.67505
494,24.62028
495,24.56550
496,24.51073
497,24.45595
498,24.40118
499,24.34640
500,24.29163
501,24.24644
502,24.23160
503,24.21676
504,24.20193
505,24.18709
506,24.17225
507,24.15741
508,24.14258
509,24.12774
510,24.11290
511,24.09806
512,24.08323
513,24.06839
514,24.05355
515,24.03871
516,24.02388
517,24.00904
518,23.99420
519,23.97937
520,23.96453
521,23.94969
522,23.93485
523,23.92002
524,23.90518
525,23.89034
526,23.87550
527,23.86067
528,23.84583
529,23.83099
530,23.81615
531,23.80132
532,23.78648
533,23.77164
534,23.75680
535,23.74197
536,23.72713
537,23.71229
538,23.69745
539,23.68262
540,23.66778
541,23.65294
542,23.63810
543,23.62327
544,23.60843
545,23.59359
546,23.57875
547,23.56586
548,23.55577
549,23.54568
550,23.53559
551,23.52550
552,23.51541
553,23.50533
554,23.49524
555,23.48515
556,23.47506
557,23.46497
558,23.45488
559,23.44479
560,23.43470
561,23.42461
562,23.41452
563,23.40443
564,23.39434
565,23.38425
566,23.37416
567,23.36407
568,23.35398
569,23.34389
570,23.33380
571,23.32371
572,23.31362
573,23.30353
574,23.29344
575,23.28335
576,23.27326
577,23.26317
578,23.25308
579,23.24299
580,23.23290
581,23.22281
582,23.21272
583,23.20263
584,23.19254
585,23.18246
586,23.17237
587,23.16228
588,23.15219
589,23.14210
590,23.13201
591,23.12192
592,23.11183
593,23.10174
594,23.09165
595,23.08156
596,23.07147
597,23.06138
598,23.05129
599,23.04120
600,23.03111
601,23.05821
602,23.08991
603,23.12160
604,23.15330
605,23.18500
606,23.21669
607,23.24839
608,23.28008
609,23.31178
610,23.34348
611,23.37517
612,23.40687
613,23.43857
614,23.47026
615,23.50196
616,23.53365
617,23.56535
618,23.59705
619,23.62874
620,23.66044
621,23.69214
622,23.72383
623,23.75553
624,23.78723
625,23.81892
626,23.85062
627,23.88231
628,23.91401
629,23.94571
630,23.97740
631,24.00910
632,24.04080
633,24.07249
634,24.10419
